# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
36           	((3.287716e-07 -5.882918e-05 3.328214e-24) (2.102811e-06 1.013218e-07 7.292887e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.402437e-25 1.510245e-24 2.153505e-05) (-1.538760e-26 1.822265e-25 -7.369250e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
37           	((3.941361e-07 -5.826007e-05 3.326513e-24) (2.089976e-06 9.996273e-08 7.363088e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.400097e-25 1.507923e-24 2.128838e-05) (-1.553711e-26 1.840396e-25 2.479116e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((4.603267e-07 -5.767853e-05 3.324555e-24) (2.077244e-06 9.859645e-08 7.405105e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.397523e-25 1.505365e-24 2.103740e-05) (-1.562744e-26 1.851456e-25 5.738391e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((5.239102e-07 -5.711039e-05 3.324454e-24) (2.064758e-06 9.722169e-08 7.449410e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.395364e-25 1.503299e-24 2.079256e-05) (-1.571982e-26 1.862727e-25 9.087535e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((5.837328e-07 -5.656719e-05 3.326438e-24) (2.052573e-06 9.584659e-08 7.497079e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.393742e-25 1.501853e-24 2.055851e-05) (-1.581695e-26 1.874599e-25 1.249421e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
41           	((6.359428e-07 -5.606945e-05 3.328473e-24) (2.040670e-06 9.446747e-08 7.555164e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.392280e-25 1.500562e-24 2.034416e-05) (-1.593927e-26 1.889337e-25 1.598003e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((6.719720e-07 -5.575239e-05 3.339704e-24) (2.029185e-06 9.308235e-08 7.681917e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.394261e-25 1.503032e-24 2.020056e-05) (-1.619412e-26 1.919949e-25 1.955062e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((7.344029e-07 -5.508367e-05 3.336138e-24) (2.017394e-06 9.175133e-08 7.532179e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.389584e-25 1.498384e-24 1.992293e-05) (-1.588288e-26 1.883423e-25 2.287439e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
44           	((7.674114e-07 -5.477914e-05 3.340774e-24) (2.006301e-06 9.038229e-08 7.785231e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.390354e-25 1.499358e-24 1.978538e-05) (-1.640677e-26 1.945869e-25 2.642037e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((8.227712e-07 -5.416978e-05 3.337928e-24) (1.994919e-06 8.905068e-08 7.669233e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.386302e-25 1.495343e-24 1.953204e-05) (-1.617077e-26 1.918150e-25 2.976978e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((8.620922e-07 -5.375986e-05 3.337282e-24) (1.983900e-06 8.771194e-08 7.820074e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.384829e-25 1.493904e-24 1.935541e-05) (-1.647948e-26 1.955150e-25 3.317959e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((8.964602e-07 -5.339086e-05 3.342295e-24) (1.973146e-06 8.638093e-08 7.886240e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.384669e-25 1.494009e-24 1.919591e-05) (-1.661624e-26 1.971642e-25 3.658499e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((9.292285e-07 -5.302357e-05 3.347410e-24) (1.962562e-06 8.507872e-08 7.939495e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.384377e-25 1.493995e-24 1.903816e-05) (-1.672603e-26 1.985010e-25 3.991813e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((9.615607e-07 -5.264936e-05 3.351123e-24) (1.952115e-06 8.379882e-08 8.005811e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.383661e-25 1.493503e-24 1.887847e-05) (-1.687019e-26 2.002353e-25 4.317657e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((9.931322e-07 -5.227493e-05 3.352457e-24) (1.941671e-06 8.252938e-08 8.043923e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.382378e-25 1.492347e-24 1.871928e-05) (-1.694223e-26 2.011355e-25 4.636047e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((1.023758e-06 -5.190470e-05 3.353567e-24) (1.931369e-06 8.127768e-08 8.110063e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.381078e-25 1.491163e-24 1.856221e-05) (-1.708295e-26 2.028333e-25 4.947294e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((1.053587e-06 -5.153797e-05 3.353601e-24) (1.921125e-06 8.003853e-08 8.144677e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.379529e-25 1.489686e-24 1.840693e-05) (-1.714486e-26 2.036168e-25 5.251761e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((1.081825e-06 -5.118262e-05 3.353440e-24) (1.911075e-06 7.882341e-08 8.200504e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.378000e-25 1.488218e-24 1.825660e-05) (-1.725876e-26 2.050032e-25 5.547899e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((1.108532e-06 -5.083739e-05 3.352260e-24) (1.901100e-06 7.762556e-08 8.272289e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.376255e-25 1.486492e-24 1.811076e-05) (-1.741205e-26 2.068479e-25 5.836252e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((1.135348e-06 -5.049430e-05 3.352513e-24) (1.891286e-06 7.646146e-08 8.313421e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.374817e-25 1.485132e-24 1.796604e-05) (-1.749518e-26 2.078661e-25 6.110621e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((1.160366e-06 -5.016621e-05 3.351175e-24) (1.881666e-06 7.532231e-08 8.355514e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.373137e-25 1.483460e-24 1.782765e-05) (-1.757577e-26 2.088625e-25 6.377386e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((1.184030e-06 -4.984827e-05 3.349509e-24) (1.872239e-06 7.420891e-08 8.426221e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.371434e-25 1.481748e-24 1.769365e-05) (-1.772651e-26 2.106765e-25 6.636347e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
58           	((1.206566e-06 -4.953897e-05 3.347142e-24) (1.862872e-06 7.311669e-08 8.487853e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.369596e-25 1.479872e-24 1.756338e-05) (-1.785646e-26 2.122469e-25 6.885432e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((1.228325e-06 -4.923647e-05 3.345228e-24) (1.853590e-06 7.204959e-08 8.533409e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.367885e-25 1.478140e-24 1.743607e-05) (-1.794871e-26 2.133761e-25 7.123770e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((1.249494e-06 -4.893853e-05 3.342444e-24) (1.844370e-06 7.100339e-08 8.599787e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.365979e-25 1.476177e-24 1.731084e-05) (-1.809033e-26 2.150841e-25 7.352031e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((1.270107e-06 -4.864487e-05 3.339387e-24) (1.835276e-06 6.998157e-08 8.650593e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.364024e-25 1.474153e-24 1.718756e-05) (-1.819502e-26 2.163591e-25 7.571047e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((1.289452e-06 -4.836003e-05 3.336114e-24) (1.826203e-06 6.898141e-08 8.709260e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.362017e-25 1.472069e-24 1.706808e-05) (-1.831859e-26 2.178536e-25 7.779456e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
63           	((1.308583e-06 -4.807708e-05 3.333683e-24) (1.817161e-06 6.799664e-08 8.733748e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.360179e-25 1.470189e-24 1.694951e-05) (-1.836005e-26 2.183892e-25 7.978953e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
