"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.024111,1.0004,-0.0024331,0,-2.6943,-3.9983,0
0.023885,1.0006,-0.0031332,0,-2.6179,-3.9983,0
0.023604,1.0009,-0.0038353,0,-2.5414,-3.9983,0
0.023264,1.0013,-0.0045323,0,-2.465,-3.9983,0
0.022864,1.0017,-0.0052209,0,-2.3886,-3.9983,0
0.022403,1.0022,-0.0058991,0,-2.3121,-3.9983,0
0.021882,1.0028,-0.0065651,0,-2.2357,-3.9983,0
0.021302,1.0034,-0.0072172,0,-2.1593,-3.9983,0
0.020665,1.004,-0.0078538,0,-2.0828,-3.9983,0
0.019973,1.0047,-0.0084732,0,-2.0064,-3.9983,0
0.019226,1.0055,-0.0090739,0,-1.93,-3.9983,0
0.018426,1.0063,-0.0096541,0,-1.8536,-3.9983,0
0.017577,1.0072,-0.010212,0,-1.7771,-3.9983,0
0.016679,1.0081,-0.010747,0,-1.7007,-3.9983,0
0.015736,1.009,-0.011256,0,-1.6243,-3.9983,0
0.01475,1.0101,-0.011738,0,-1.5478,-3.9983,0
0.013724,1.0111,-0.012191,0,-1.4714,-3.9983,0
0.012661,1.0122,-0.012615,0,-1.395,-3.9983,0
0.011565,1.0133,-0.013006,0,-1.3185,-3.9983,0
0.010438,1.0145,-0.013366,0,-1.2421,-3.9983,0
0.0092843,1.0156,-0.013691,0,-1.1657,-3.9983,0
0.0081078,1.0169,-0.01398,0,-1.0893,-3.9983,0
0.0069123,1.0181,-0.014234,0,-1.0128,-3.9983,0
0.0057019,1.0193,-0.01445,0,-0.9364,-3.9983,0
0.0044807,1.0206,-0.014629,0,-0.85997,-3.9983,0
0.003253,1.0219,-0.014769,0,-0.78354,-3.9983,0
0.0019982,1.0232,-0.014791,0,-0.70711,-3.9983,0
0.025922,1,0,0,-3,-3.8552,0
0.025903,1,-0.00058743,0,-2.9236,-3.8552,0
0.025838,1.0001,-0.0012765,0,-2.8471,-3.8552,0
0.025715,1.0002,-0.002041,0,-2.7707,-3.8552,0
0.025533,1.0004,-0.0028419,0,-2.6943,-3.8552,0
0.025294,1.0007,-0.0036592,0,-2.6179,-3.8552,0
0.024995,1.001,-0.0044785,0,-2.5414,-3.8552,0
0.024635,1.0014,-0.0052919,0,-2.465,-3.8552,0
0.024211,1.0018,-0.0060954,0,-2.3886,-3.8552,0
0.023721,1.0023,-0.0068868,0,-2.3121,-3.8552,0
0.023168,1.0029,-0.007664,0,-2.2357,-3.8552,0
0.022553,1.0035,-0.0084251,0,-2.1593,-3.8552,0
0.021876,1.0042,-0.0091683,0,-2.0828,-3.8552,0
0.021139,1.005,-0.0098917,0,-2.0064,-3.8552,0
0.020343,1.0058,-0.010593,0,-1.93,-3.8552,0
0.019492,1.0067,-0.011271,0,-1.8536,-3.8552,0
0.018586,1.0076,-0.011924,0,-1.7771,-3.8552,0
0.017628,1.0085,-0.012549,0,-1.7007,-3.8552,0
0.016621,1.0096,-0.013144,0,-1.6243,-3.8552,0
0.015567,1.0106,-0.013709,0,-1.5478,-3.8552,0
0.014469,1.0117,-0.01424,0,-1.4714,-3.8552,0
0.01333,1.0129,-0.014736,0,-1.395,-3.8552,0
0.012155,1.0141,-0.015195,0,-1.3185,-3.8552,0
0.010946,1.0153,-0.015616,0,-1.2421,-3.8552,0
0.0097074,1.0166,-0.015997,0,-1.1657,-3.8552,0
0.0084434,1.0178,-0.016336,0,-1.0893,-3.8552,0
0.0071581,1.0192,-0.016634,0,-1.0128,-3.8552,0
0.005856,1.0205,-0.016887,0,-0.9364,-3.8552,0
0.004542,1.0218,-0.017096,0,-0.85997,-3.8552,0
0.0032207,1.0232,-0.017259,0,-0.78354,-3.8552,0
0.0018642,1.0246,-0.01728,0,-0.70711,-3.8552,0
0.027602,1,0,0,-3,-3.7121,0
0.027582,1,-0.00067738,0,-2.9236,-3.7121,0
0.027513,1.0001,-0.0014715,0,-2.8471,-3.7121,0
0.027382,1.0002,-0.0023524,0,-2.7707,-3.7121,0
0.027189,1.0004,-0.0032749,0,-2.6943,-3.7121,0
0.026934,1.0007,-0.004216,0,-2.6179,-3.7121,0
0.026617,1.0011,-0.0051594,0,-2.5414,-3.7121,0
0.026234,1.0015,-0.0060958,0,-2.465,-3.7121,0
0.025782,1.0019,-0.0070209,0,-2.3886,-3.7121,0
0.025261,1.0025,-0.0079321,0,-2.3121,-3.7121,0
0.024671,1.0031,-0.0088271,0,-2.2357,-3.7121,0
0.024015,1.0038,-0.0097038,0,-2.1593,-3.7121,0
0.023292,1.0045,-0.01056,0,-2.0828,-3.7121,0
0.022505,1.0053,-0.011394,0,-2.0064,-3.7121,0
0.021655,1.0062,-0.012203,0,-1.93,-3.7121,0
0.020743,1.0071,-0.012986,0,-1.8536,-3.7121,0
0.019773,1.008,-0.013739,0,-1.7771,-3.7121,0
0.018745,1.0091,-0.014461,0,-1.7007,-3.7121,0
0.017664,1.0102,-0.015149,0,-1.6243,-3.7121,0
0.016531,1.0113,-0.015802,0,-1.5478,-3.7121,0
0.015349,1.0125,-0.016416,0,-1.4714,-3.7121,0
0.014123,1.0137,-0.01699,0,-1.395,-3.7121,0
0.012855,1.015,-0.017522,0,-1.3185,-3.7121,0
0.01155,1.0163,-0.01801,0,-1.2421,-3.7121,0
0.010211,1.0176,-0.018451,0,-1.1657,-3.7121,0
0.0088432,1.019,-0.018845,0,-1.0893,-3.7121,0
0.0074516,1.0204,-0.019189,0,-1.0128,-3.7121,0
0.0060409,1.0218,-0.019483,0,-0.9364,-3.7121,0
0.0046165,1.0232,-0.019725,0,-0.85997,-3.7121,0
0.0031838,1.0247,-0.019913,0,-0.78354,-3.7121,0
0.001706,1.0262,-0.019931,0,-0.70711,-3.7121,0
0.029534,1,0,0,-3,-3.569,0
0.029513,1,-0.00077297,0,-2.9236,-3.569,0
0.029439,1.0001,-0.0016787,0,-2.8471,-3.569,0
0.0293,1.0003,-0.002683,0,-2.7707,-3.569,0
0.029094,1.0005,-0.0037345,0,-2.6943,-3.569,0
0.028823,1.0008,-0.004807,0,-2.6179,-3.569,0
0.028485,1.0011,-0.005882,0,-2.5414,-3.569,0
0.028077,1.0016,-0.0069489,0,-2.465,-3.569,0
0.027594,1.0021,-0.0080031,0,-2.3886,-3.569,0
0.027038,1.0026,-0.0090415,0,-2.3121,-3.569,0
0.026409,1.0033,-0.010062,0,-2.2357,-3.569,0
0.025707,1.004,-0.011062,0,-2.1593,-3.569,0
0.024933,1.0048,-0.012039,0,-2.0828,-3.569,0
0.02409,1.0056,-0.012991,0,-2.0064,-3.569,0
