# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
30           	((1.107616e-03 -5.208950e-03 5.655526e-22) (9.891801e-06 1.255050e-06 4.725415e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.027085e-23 3.181007e-22 1.166761e-03) (-9.963541e-25 1.192669e-23 -5.592018e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((1.113594e-03 -5.182729e-03 5.505119e-22) (1.055042e-05 1.230139e-06 4.272520e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.996940e-23 3.144480e-22 1.153306e-03) (-9.000367e-25 1.078078e-23 -5.228906e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((1.120435e-03 -5.156385e-03 5.370593e-22) (1.121661e-05 1.214520e-06 4.586075e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.968343e-23 3.110248e-22 1.140504e-03) (-9.648008e-25 1.157092e-23 -4.904661e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((1.127838e-03 -5.127095e-03 5.244263e-22) (1.196122e-05 1.202308e-06 4.404926e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.939593e-23 3.076293e-22 1.126802e-03) (-9.276994e-25 1.111475e-23 -4.593625e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((1.135481e-03 -5.104155e-03 5.109223e-22) (1.275649e-05 1.209494e-06 4.689904e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.909242e-23 3.040361e-22 1.115559e-03) (-9.807490e-25 1.175834e-23 -4.371632e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((1.144554e-03 -5.036737e-03 5.017549e-22) (1.352527e-05 1.214397e-06 4.306315e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.880447e-23 3.008150e-22 1.087911e-03) (-9.027654e-25 1.081661e-23 -4.140434e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
36           	((1.154354e-03 -5.009967e-03 4.897194e-22) (1.429071e-05 1.226629e-06 4.537125e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.852379e-23 2.975154e-22 1.075003e-03) (-9.477475e-25 1.135890e-23 -3.963774e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
37           	((1.157493e-03 -5.017318e-03 4.757609e-22) (1.512456e-05 1.239777e-06 4.670122e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.823747e-23 2.940628e-22 1.074462e-03) (-9.751107e-25 1.168630e-23 -3.774270e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
38           	((1.157821e-03 -5.086707e-03 4.734541e-22) (1.599933e-05 1.262659e-06 4.481767e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.822936e-23 2.938665e-22 1.099123e-03) (-9.368597e-25 1.121451e-23 -3.619208e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
39           	((1.162121e-03 -5.070778e-03 4.754074e-22) (1.678755e-05 1.293368e-06 4.358082e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.819836e-23 2.936712e-22 1.091840e-03) (-9.057582e-25 1.086301e-23 -3.511346e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
40           	((1.157995e-03 -5.171220e-03 4.745090e-22) (1.767068e-05 1.325411e-06 4.471892e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.824981e-23 2.941161e-22 1.128396e-03) (-9.330484e-25 1.116956e-23 -3.414689e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
