# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
44           	((4.479023e-03 -2.872011e-02 3.220503e-21) (8.528970e-05 7.696880e-06 1.498182e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.463601e-22 1.563076e-21 7.475954e-03) (-3.139637e-24 3.758198e-23 -1.184737e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((4.517492e-03 -2.858420e-02 3.232832e-21) (8.717361e-05 7.731026e-06 1.453813e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.467883e-22 1.567799e-21 7.402777e-03) (-3.052938e-24 3.649710e-23 -1.136056e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((4.523505e-03 -2.842621e-02 3.255197e-21) (8.843569e-05 7.826229e-06 1.503557e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.475451e-22 1.576176e-21 7.315339e-03) (-3.147566e-24 3.767862e-23 -1.130211e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((4.559648e-03 -2.828000e-02 3.274076e-21) (9.030058e-05 7.900109e-06 1.465504e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.480467e-22 1.581937e-21 7.240468e-03) (-3.070468e-24 3.672129e-23 -1.100141e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((4.537549e-03 -2.837305e-02 3.288195e-21) (9.160294e-05 8.021566e-06 1.526111e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.489241e-22 1.591040e-21 7.251455e-03) (-3.193268e-24 3.820924e-23 -1.107912e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((4.533063e-03 -2.852092e-02 3.340992e-21) (9.353766e-05 8.145863e-06 1.487933e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.502572e-22 1.606487e-21 7.297381e-03) (-3.107750e-24 3.715915e-23 -1.098342e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((4.620329e-03 -2.757507e-02 3.274966e-21) (9.413832e-05 8.328922e-06 1.475241e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.487434e-22 1.588633e-21 6.898150e-03) (-3.093564e-24 3.705174e-23 -1.147937e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((4.653999e-03 -2.722085e-02 3.353327e-21) (9.549065e-05 8.477287e-06 1.522586e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.502452e-22 1.607007e-21 6.745107e-03) (-3.164585e-24 3.791193e-23 -1.164946e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((4.722520e-03 -2.645296e-02 3.390609e-21) (9.654119e-05 8.645111e-06 1.486462e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.506370e-22 1.612669e-21 6.428240e-03) (-3.094006e-24 3.708755e-23 -1.198860e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((4.772357e-03 -2.604455e-02 3.405132e-21) (9.765954e-05 8.794444e-06 1.546473e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.510533e-22 1.617391e-21 6.245650e-03) (-3.222428e-24 3.860258e-23 -1.226648e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((4.760532e-03 -2.625800e-02 3.353187e-21) (9.877681e-05 8.958522e-06 1.667880e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.509800e-22 1.614014e-21 6.296946e-03) (-3.487996e-24 4.173224e-23 -1.264075e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((4.702033e-03 -2.653711e-02 3.362514e-21) (1.000681e-04 9.138678e-06 1.635332e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.518042e-22 1.622362e-21 6.395808e-03) (-3.413479e-24 4.084237e-23 -1.293803e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((4.679753e-03 -2.653520e-02 3.375774e-21) (1.012895e-04 9.298136e-06 1.661526e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.523274e-22 1.628040e-21 6.387526e-03) (-3.464414e-24 4.147605e-23 -1.313674e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((4.736149e-03 -2.590314e-02 3.395035e-21) (1.019788e-04 9.460206e-06 1.546073e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.525940e-22 1.631577e-21 6.124975e-03) (-3.231293e-24 3.871129e-23 -1.349303e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
