"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0040897,1.0011,-0.0015619,0,-2.4395,-4.6184,0
-0.0043067,1.0014,-0.0017041,0,-2.3886,-4.6184,0
-0.0045438,1.0016,-0.0018431,0,-2.3376,-4.6184,0
-0.0048005,1.0019,-0.0019786,0,-2.2867,-4.6184,0
-0.0050765,1.0021,-0.0021106,0,-2.2357,-4.6184,0
-0.0053712,1.0024,-0.0022387,0,-2.1847,-4.6184,0
-0.0056843,1.0028,-0.0023627,0,-2.1338,-4.6184,0
-0.0060152,1.0031,-0.0024825,0,-2.0828,-4.6184,0
-0.0063633,1.0034,-0.0025979,0,-2.0319,-4.6184,0
-0.006728,1.0038,-0.0027086,0,-1.9809,-4.6184,0
-0.0071087,1.0042,-0.0028145,0,-1.93,-4.6184,0
-0.0075047,1.0046,-0.0029154,0,-1.879,-4.6184,0
-0.0079154,1.005,-0.0030113,0,-1.8281,-4.6184,0
-0.00834,1.0054,-0.0031019,0,-1.7771,-4.6184,0
-0.0087777,1.0059,-0.0031872,0,-1.7262,-4.6184,0
-0.0092278,1.0063,-0.003267,0,-1.6752,-4.6184,0
-0.0096895,1.0068,-0.0033413,0,-1.6243,-4.6184,0
-0.010162,1.0072,-0.0034099,0,-1.5733,-4.6184,0
-0.010644,1.0077,-0.0034728,0,-1.5224,-4.6184,0
-0.011135,1.0082,-0.00353,0,-1.4714,-4.6184,0
-0.011634,1.0087,-0.0035813,0,-1.4205,-4.6184,0
-0.01214,1.0092,-0.0036267,0,-1.3695,-4.6184,0
-0.012652,1.0097,-0.0036663,0,-1.3185,-4.6184,0
-0.01317,1.0102,-0.0037,0,-1.2676,-4.6184,0
-0.013691,1.0107,-0.0037277,0,-1.2166,-4.6184,0
-0.014215,1.0112,-0.0037496,0,-1.1657,-4.6184,0
-0.014742,1.0117,-0.0037656,0,-1.1147,-4.6184,0
-0.015269,1.0123,-0.0037757,0,-1.0638,-4.6184,0
-0.015796,1.0128,-0.0037801,0,-1.0128,-4.6184,0
-0.016322,1.0133,-0.0037787,0,-0.96187,-4.6184,0
-0.016845,1.0138,-0.0037716,0,-0.91092,-4.6184,0
-0.017366,1.0143,-0.0037588,0,-0.85997,-4.6184,0
-0.017881,1.0149,-0.0037406,0,-0.80901,-4.6184,0
-0.018392,1.0154,-0.0037168,0,-0.75806,-4.6184,0
-0.018898,1.0159,-0.0036754,-1.0389e-22,-0.70711,-4.6184,0
-0.0026918,1,0,0,-3,-4.523,0
-0.002698,1,-0.00011827,0,-2.949,-4.523,0
-0.0027195,1,-0.00026941,0,-2.8981,-4.523,0
-0.0027592,1.0001,-0.00044504,0,-2.8471,-4.523,0
-0.0028165,1.0001,-0.00063429,0,-2.7962,-4.523,0
-0.0028913,1.0002,-0.00082946,0,-2.7452,-4.523,0
-0.0029853,1.0003,-0.0010252,0,-2.6943,-4.523,0
-0.0031004,1.0004,-0.0012195,0,-2.6433,-4.523,0
-0.0032374,1.0006,-0.0014116,0,-2.5924,-4.523,0
-0.0033963,1.0008,-0.001601,0,-2.5414,-4.523,0
-0.0035768,1.0009,-0.0017874,0,-2.4905,-4.523,0
-0.0037786,1.0012,-0.0019704,0,-2.4395,-4.523,0
-0.0040014,1.0014,-0.0021497,0,-2.3886,-4.523,0
-0.0042447,1.0016,-0.0023251,0,-2.3376,-4.523,0
-0.0045083,1.0019,-0.0024962,0,-2.2867,-4.523,0
-0.0047918,1.0022,-0.0026628,0,-2.2357,-4.523,0
-0.0050945,1.0025,-0.0028244,0,-2.1847,-4.523,0
-0.0054161,1.0028,-0.002981,0,-2.1338,-4.523,0
-0.005756,1.0032,-0.0031322,0,-2.0828,-4.523,0
-0.0061137,1.0035,-0.0032778,0,-2.0319,-4.523,0
-0.0064885,1.0039,-0.0034176,0,-1.9809,-4.523,0
-0.0068798,1.0043,-0.0035513,0,-1.93,-4.523,0
-0.007287,1.0047,-0.0036787,0,-1.879,-4.523,0
-0.0077092,1.0051,-0.0037997,0,-1.8281,-4.523,0
-0.0081459,1.0056,-0.0039141,0,-1.7771,-4.523,0
-0.0085961,1.006,-0.0040217,0,-1.7262,-4.523,0
-0.0090592,1.0065,-0.0041224,0,-1.6752,-4.523,0
-0.0095342,1.0069,-0.0042161,0,-1.6243,-4.523,0
-0.01002,1.0074,-0.0043026,0,-1.5733,-4.523,0
-0.010517,1.0079,-0.004382,0,-1.5224,-4.523,0
